City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,katsuura,35.1333,140.3,25.84,93,97,3.36,JP,1722976314
201,acarau,-2.8856,-40.12,25.43,77,6,8.26,BR,1722976314
202,fortuna,40.5982,-124.1573,18.88,77,20,5.66,US,1722976315
203,port douglas,-16.4833,145.4667,19.9,85,66,1.69,AU,1722976315
204,puerto quijarro,-17.7833,-57.7667,34.71,13,1,2.51,BO,1722976315
205,waterford,42.7023,-83.4027,19.52,93,100,4.12,US,1722976229
206,kalianget,-7.05,113.9333,25.58,79,3,3.09,ID,1722976315
207,tazovsky,67.4667,78.7,5.51,90,0,5.96,RU,1722976315
208,lihue,21.9789,-159.3672,27.77,67,0,5.14,US,1722976315
209,saurimo,-9.6608,20.3916,19.46,23,8,1.26,AO,1722976315
210,sompeta,18.9333,84.6,25.58,93,100,1.62,IN,1722976315
211,faraskur,31.3298,31.7151,25.78,85,0,2.29,EG,1722976315
212,puerto gaitan,4.3133,-72.0816,29.23,65,42,2.12,CO,1722976316
213,touros,-5.1989,-35.4608,24.56,80,15,6.91,BR,1722976316
214,shiyan,32.6475,110.7781,25.71,96,92,0.87,CN,1722976316
215,tura,25.5198,90.2201,24.34,96,100,2.43,IN,1722976316
216,campbell river,50.0163,-125.2446,23.21,60,20,3.09,CA,1722976316
217,vadso,70.0744,29.7487,17.49,76,0,4.12,NO,1722976316
218,guise,49.9006,3.628,20.37,81,73,2.31,FR,1722976316
219,kurlovo,55.4325,40.4854,14.52,97,3,1.99,RU,1722976316
220,orlandia,-20.7203,-47.8867,29.08,32,0,1.42,BR,1722976316
221,sur,22.5667,59.5289,27.72,73,82,5.68,OM,1722976316
222,la rinconada,37.4873,-5.9826,29.43,48,0,4.12,ES,1722976316
223,kavaratti,10.5669,72.642,27.06,84,100,4.46,IN,1722976317
224,pyay,18.8167,95.2167,24.11,98,100,3.3,MM,1722976317
225,san clemente,33.427,-117.612,35.87,72,32,0.89,US,1722976267
226,college,64.8569,-147.8028,27.18,38,75,2.57,US,1722976317
227,redkino,56.6475,36.2967,13.89,94,10,1.15,RU,1722976317
228,fada,7.25,4.0667,22.52,91,63,2.12,NG,1722976317
229,gadzhiyevo,69.2551,33.3362,13.19,55,7,3.82,RU,1722976317
230,buala,-8.145,159.5921,26.84,84,62,3.85,SB,1722976317
231,westport,41.1415,-73.3579,28.25,81,75,7.2,US,1722976317
232,zemio,5.0314,25.1361,23.16,85,100,0.43,CF,1722976317
233,pindushi,62.9152,34.58,10.6,85,34,2.66,RU,1722976317
234,massaguet,12.4755,15.4365,25.27,78,100,2.67,TD,1722976318
235,cumra,37.5732,32.7745,25.08,36,66,2.69,TR,1722976318
236,beloyarsk,53.4461,83.9048,18.73,68,99,1.88,RU,1722976318
237,cabo san lucas,22.8909,-109.9124,28.17,76,100,9.26,MX,1722976136
238,kasserine,35.1676,8.8365,25.39,49,0,3.0,TN,1722976318
239,poyarkovo,49.6,128.6833,18.68,82,0,1.61,RU,1722976318
240,vorgashor,67.5833,63.95,4.85,73,5,3.71,RU,1722976318
241,page,36.9147,-111.4558,37.88,18,0,0.89,US,1722976318
242,el bolson,-41.9667,-71.5167,4.62,86,94,1.19,AR,1722976318
243,rangkasbitung,-6.3591,106.2494,23.64,91,100,0.11,ID,1722976318
244,pospelikha,51.95,81.7667,16.47,91,58,3.0,RU,1722976319
245,sinabang,2.4803,96.3801,24.09,99,100,2.37,ID,1722976319
246,los alamos,35.8881,-106.307,31.99,26,17,1.79,US,1722976189
247,muborak,39.2553,65.1528,28.49,17,0,6.79,UZ,1722976319
248,tralee,52.2704,-9.7026,12.68,93,42,3.9,IE,1722976313
249,sao vicente,-23.9631,-46.3919,32.1,94,19,1.54,BR,1722976319
250,glace bay,46.1969,-59.957,21.61,68,75,6.17,CA,1722976319
251,kapa'a,22.0752,-159.319,28.18,68,0,5.14,US,1722976319
252,paungde,18.4833,95.5,23.91,96,100,4.12,MM,1722976319
253,ati,13.2154,18.3353,26.48,75,89,5.32,TD,1722976319
254,bykovo,55.6361,38.0803,16.85,100,4,2.0,RU,1722976320
255,fale old settlement,-9.3852,-171.2468,28.1,77,49,6.91,TK,1722976320
256,hasaki,35.7333,140.8333,26.27,92,8,4.15,JP,1722976320
257,luderitz,-26.6481,15.1594,13.42,69,8,1.76,NA,1722976320
258,tafuna,-14.3358,-170.72,26.97,83,75,6.69,AS,1722976320
259,sumbawa besar,-8.5,117.4333,21.31,93,88,1.8,ID,1722976320
260,carbonear,47.7332,-53.2148,20.89,85,100,4.53,CA,1722976320
261,leua,48.2156,18.6071,21.94,57,0,1.83,SK,1722976320
262,uvira,-3.4067,29.1458,23.83,48,4,0.74,CD,1722976320
